,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination_num
13,mp-568927,AgI,P2_1/m,monoclinic,0.10344356500000007,"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.396367   4.349774   6.097108
angles:  88.427396  90.000000  90.000000
Sites (4)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ag    0.25  0.181137  0.776744        -0
  1  Ag    0.75  0.818863  0.223256        -0
  2  I     0.75  0.718453  0.74135          0
  3  I     0.25  0.281547  0.25865          0",6.689685269394208,1.4011999999999998,-9.4217856,1.0,-1.0,6
14,mp-22915,AgI,Pm-3m,cubic,0.38989319999999994,"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   3.855000   3.855000   3.855000
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0          -0
  1  I     0.5  0.5  0.5        -0",6.804927293483764,0.4700000000000002,-4.13799353,1.0,-1.0,8
15,mp-1056955,AgN,Fm-3m,cubic,1.4081794221433332,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.264118   3.264118   3.264118
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ag    0    0    0       0
  1  N     0.5  0.5  0.5     0.001",8.229639302256075,0.0,-7.9686424,3.0,-3.0,6
16,mp-999197,AgN,P6_3/mmc,hexagonal,1.4177235671433333,"Full Formula (Ag2 N2)
Reduced Formula: AgN
abc   :   3.199309   3.199309   5.624058
angles:  90.000000  90.000000 119.999987
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ag    0         0         0.5          0
  1  Ag    0         0         0            0
  2  N     0.333333  0.666667  0.25        -0
  3  N     0.666667  0.333333  0.75        -0",8.118960175545979,0.0,-15.89910822,3.0,-3.0,6
17,mp-1091417,AgN,Cmce,orthorhombic,1.5086049221433333,"Full Formula (Ag4 N4)
Reduced Formula: AgN
abc   :   4.097377   4.097377   7.138863
angles:  90.000000  90.000000  92.117563
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.336578  0.663422  0.341579         0
  1  Ag    0.663422  0.336578  0.658421         0
  2  Ag    0.163422  0.836578  0.841579        -0
  3  Ag    0.836578  0.163422  0.158421        -0
  4  N     0.839248  0.660752  0.25             0
  5  N     0.660752  0.839248  0.75             0
  6  N     0.160752  0.339248  0.75             0
  7  N     0.339248  0.160752  0.25             0",6.758948000262353,0.0,-31.0711656,3.0,-3.0,4
18,mp-1009767,AgN,P-6m2,hexagonal,1.5329295771433333,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.153790   3.153790   2.939526
angles:  90.000000  90.000000 119.999995
Sites (2)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Ag    0.666667  0.333333  0          -0
  1  N     0         0         0.5         0",7.9926340665769695,0.0,-7.71914209,3.0,-3.0,6
19,mp-1009766,AgN,F-43m,cubic,1.5379648071433332,"Full Formula (Ag1 N1)
Reduced Formula: AgN
abc   :   3.499957   3.499957   3.499957
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0       -0.001
  1  N     0.25  0.25  0.25    -0.002",6.67560166843368,0.0,-7.70907163,3.0,-3.0,4
20,mp-499,AgO,Cccm,orthorhombic,0.0,"Full Formula (Ag2 O2)
Reduced Formula: AgO
abc   :   3.298513   3.298513   5.609099
angles:  90.000000  90.000000  93.378444
Sites (4)
  #  SP      a    b     c    magmom
---  ----  ---  ---  ----  --------
  0  Ag    0.5  0    0           -0
  1  Ag    0    0.5  0.5         -0
  2  O     0    0    0.75         0
  3  O     0    0    0.25         0",6.75247295516384,0.0,-15.96752561,2.0,-2.0,4
21,mp-1065190,AgO,C2/c,monoclinic,0.0028721049999997916,"Full Formula (Ag2 O2)
Reduced Formula: AgO
abc   :   3.293904   3.293904   5.595308
angles:  86.518399  86.518399  86.044201
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ag    0         0.5       0.5          0
  1  Ag    0.5       0         0            0
  2  O     0.022648  0.977352  0.75         0
  3  O     0.977352  0.022648  0.25         0",6.8160130873612985,0.0,-15.95603719,2.0,-2.0,4
22,mp-1066856,AgO,C2/c,monoclinic,0.006079559999999873,"Full Formula (Ag2 O2)
Reduced Formula: AgO
abc   :   3.298877   3.298877   5.645653
angles:  86.681119  86.681119  80.730615
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Ag    0.5       0         0.5     -0
  1  Ag    0         0.5       0       -0
  2  O     0.975159  0.024841  0.75    -0.001
  3  O     0.024841  0.975159  0.25    -0.001",6.803873473451433,0.0,-15.94320737,2.0,-2.0,4
23,mp-1079720,AgO,P2_1/c,monoclinic,0.039711927499999966,"Full Formula (Ag4 O4)
Reduced Formula: AgO
abc   :   3.639342   5.637373   5.861476
angles:  71.829596  90.000000  90.000000
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.5       0.5       0               -0
  1  Ag    0         0         0               -0
  2  Ag    0.5       0         0.5             -0
  3  Ag    0         0.5       0.5             -0
  4  O     0.833554  0.283423  0.290376        -0
  5  O     0.333554  0.216577  0.709624        -0
  6  O     0.166446  0.716577  0.709624        -0
  7  O     0.666446  0.783423  0.290376        -0",7.2007159993612895,0.026100000000000012,-31.6173558,2.0,-2.0,2
24,mp-1288,AgO,I4_1/a,tetragonal,0.04454070562499979,"Full Formula (Ag8 O8)
Reduced Formula: AgO
abc   :   6.802137   6.802137   6.802137
angles: 118.522616 118.522616  92.578538
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.375     0.625     0.75            -0
  1  Ag    0.375     0.125     0.75            -0
  2  Ag    0.375     0.625     0.25            -0
  3  Ag    0.875     0.625     0.25            -0
  4  Ag    0.875     0.125     0.75            -0
  5  Ag    0.875     0.625     0.75            -0
  6  Ag    0.875     0.125     0.25            -0
  7  Ag    0.375     0.125     0.25            -0
  8  O     0.670223  0.998399  0.841705         0
  9  O     0.748399  0.406694  0.828176         0
 10  O     0.578518  0.920223  0.171824         0
 11  O     0.156694  0.828518  0.158295         0
 12  O     0.079777  0.251601  0.658295         0
 13  O     0.001601  0.843306  0.671824         0
 14  O     0.171482  0.329777  0.328176         0
 15  O     0.593306  0.421482  0.341705         0",7.240353217422181,0.15260000000000007,-63.15745115,2.0,-2.0,2
25,mp-8222,AgO,F-43m,cubic,0.30653393749999935,"Full Formula (Ag1 O1)
Reduced Formula: AgO
abc   :   3.582938   3.582938   3.582938
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0        0.093
  1  O     0.25  0.25  0.25     0.123",6.3241740485333695,0.0,-7.37069493,2.0,-2.0,4
26,mp-379,AgSe,F-43m,cubic,0.1381535594140626,"Full Formula (Ag1 Se1)
Reduced Formula: AgSe
abc   :   4.226527   4.226527   4.226527
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Ag    0     0     0       -0.001
  1  Se    0.25  0.25  0.25    -0.004",5.811062404994471,0.0,-6.15294326,2.0,-2.0,4
27,mp-568761,AgTe,Pnma,orthorhombic,0.0004937296875002772,"Full Formula (Ag16 Te16)
Reduced Formula: AgTe
abc   :   4.742659   8.933630  20.358743
angles:  90.000000  90.000000  90.000000
Sites (32)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.363112  0.015168  0.931491         0
  1  Ag    0.748611  0.25      0.155775         0
  2  Ag    0.636888  0.515168  0.068509         0
  3  Ag    0.248611  0.75      0.344225         0
  4  Ag    0.320104  0.75      0.552173         0
  5  Ag    0.136888  0.015168  0.431491         0
  6  Ag    0.820104  0.25      0.947827         0
  7  Ag    0.363112  0.484832  0.931491         0
  8  Ag    0.863112  0.515168  0.568509         0
  9  Ag    0.179896  0.75      0.052173         0
 10  Ag    0.636888  0.984832  0.068509         0
 11  Ag    0.136888  0.484832  0.431491         0
 12  Ag    0.251389  0.75      0.844225         0
 13  Ag    0.679896  0.25      0.447827         0
 14  Ag    0.751389  0.25      0.655775         0
 15  Ag    0.863112  0.984832  0.568509         0
 16  Te    0.595687  0.022864  0.342564         0
 17  Te    0.095687  0.977136  0.157436         0
 18  Te    0.652554  0.75      0.741            0
 19  Te    0.847446  0.75      0.241            0
 20  Te    0.095687  0.522864  0.157436         0
 21  Te    0.829342  0.75      0.469401         0
 22  Te    0.152554  0.25      0.759            0
 23  Te    0.595687  0.477136  0.342564         0
 24  Te    0.404313  0.522864  0.657436         0
 25  Te    0.170658  0.25      0.530599         0
 26  Te    0.404313  0.977136  0.657436         0
 27  Te    0.670658  0.75      0.969401         0
 28  Te    0.904313  0.022864  0.842564         0
 29  Te    0.347446  0.25      0.259            0
 30  Te    0.329342  0.25      0.030599         0
 31  Te    0.904313  0.477136  0.842564         0",7.25271351002929,0.24039999999999928,-97.08230533,1.0,-1.0,4
28,mp-2172,AlAs,F-43m,cubic,0.0,"Full Formula (Al1 As1)
Reduced Formula: AlAs
abc   :   4.054378   4.054378   4.054378
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Al    0     0     0            0
  1  As    0.25  0.25  0.25        -0",3.590699212089334,1.6871,-9.3732972,3.0,-3.0,4
29,mp-8881,AlAs,P6_3mc,hexagonal,0.0060881774999987925,"Full Formula (Al2 As2)
Reduced Formula: AlAs
abc   :   4.045529   4.045529   6.649241
angles:  90.000000  90.000000 119.999989
Sites (4)
  #  SP           a         b        c    magmom
---  ----  --------  --------  -------  --------
  0  Al    0.333333  0.666667  0.00076         0
  1  Al    0.666667  0.333333  0.50076         0
  2  As    0.333333  0.666667  0.37524        -0
  3  As    0.666667  0.333333  0.87524        -0",3.5909816738761333,1.6862000000000004,-18.72224169,3.0,-3.0,4
30,mp-11209,AlAs,P6_3/mmc,hexagonal,0.24746389999999874,"Full Formula (Al2 As2)
Reduced Formula: AlAs
abc   :   3.784901   3.784901   5.995501
angles:  90.000000  90.000000 119.999981
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Al    0         0         0            0
  1  Al    0         0         0.5          0
  2  As    0.333333  0.666667  0.25        -0
  3  As    0.666667  0.333333  0.75        -0",4.549895623815901,0.0,-17.7567388,3.0,-3.0,6
31,mp-1399,AlAu,P2_1/m,monoclinic,0.0,"Full Formula (Al4 Au4)
Reduced Formula: AlAu
abc   :   3.411429   6.412118   6.456425
angles:  87.507740  90.000000  90.000000
Sites (8)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Al    0.25  0.45044   0.820287         0
  1  Al    0.75  0.54956   0.179713        -0
  2  Al    0.25  0.078392  0.319338         0
  3  Al    0.75  0.921608  0.680662        -0
  4  Au    0.25  0.692352  0.477841         0
  5  Au    0.75  0.307648  0.522159        -0
  6  Au    0.25  0.811419  0.003183         0
  7  Au    0.75  0.188581  0.996817        -0",10.542352100081162,0.0,-31.2299241,0.0,0.0,6
32,mp-10871,AlAu,Pm-3m,cubic,0.15068768749999872,"Full Formula (Al1 Au1)
Reduced Formula: AlAu
abc   :   3.223942   3.223942   3.223942
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0           0
  1  Au    0.5  0.5  0.5         0",11.097747367525407,0.0,-7.50610565,0.0,0.0,8
33,mp-1018132,AlBi,F-43m,cubic,0.08913431499999991,"Full Formula (Al1 Bi1)
Reduced Formula: AlBi
abc   :   4.560143   4.560143   4.560143
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Al    0     0     0            0
  1  Bi    0.25  0.25  0.25        -0",5.843468147794531,0.30189999999999984,-7.45372358,0.0,0.0,4
34,mp-284,AlCo,Pm-3m,cubic,0.0,"Full Formula (Al1 Co1)
Reduced Formula: AlCo
abc   :   2.854033   2.854033   2.854033
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0       0
  1  Co    0.5  0.5  0.5    -0.001",6.13676897511371,0.0,-12.07441751,0.0,0.0,8
35,mp-2500,AlCu,C2/m,monoclinic,0.0,"Full Formula (Al5 Cu5)
Reduced Formula: AlCu
abc   :   6.377164   6.377164   6.920313
angles:  57.145492  57.145492  37.462293
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.5       0.5       0.5             -0
  1  Al    0.15622   0.15622   0.538569         0
  2  Al    0.84378   0.84378   0.461431         0
  3  Al    0.378231  0.378231  0.004275         0
  4  Al    0.621769  0.621769  0.995725         0
  5  Cu    0         0         0               -0
  6  Cu    0.257947  0.257947  0.759416         0
  7  Cu    0.742053  0.742053  0.240584         0
  8  Cu    0.108952  0.108952  0.228138        -0
  9  Cu    0.891048  0.891048  0.771862        -0",5.356855143165452,0.0,-41.35819198,0.0,0.0,6
36,mp-2658,AlFe,Pm-3m,cubic,0.0,"Full Formula (Al1 Fe1)
Reduced Formula: AlFe
abc   :   2.874332   2.874332   2.874332
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0      -0.025
  1  Fe    0.5  0.5  0.5     0.786",5.791723494989635,0.0,-12.86937107,0.0,0.0,8
37,mp-1885,AlIr,Pm-3m,cubic,0.0,"Full Formula (Al1 Ir1)
Reduced Formula: AlIr
abc   :   3.017720   3.017720   3.017720
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0          -0
  1  Ir    0.5  0.5  0.5        -0",13.244937958176171,0.0,-14.50196539,0.0,0.0,8
38,mp-661,AlN,P6_3mc,hexagonal,0.0,"Full Formula (Al2 N2)
Reduced Formula: AlN
abc   :   3.128588   3.128588   5.016955
angles:  90.000000  90.000000 120.000006
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.666667  0.333333  0.499287        -0
  1  Al    0.333333  0.666667  0.999287        -0
  2  N     0.666667  0.333333  0.880713         0
  3  N     0.333333  0.666667  0.380713         0",3.200889713142437,4.0536,-29.7797004,3.0,-3.0,4
39,mp-1700,AlN,F-43m,cubic,0.021349755000000137,"Full Formula (Al1 N1)
Reduced Formula: AlN
abc   :   3.112291   3.112291   3.112291
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Al    0     0     0            0
  1  N     0.25  0.25  0.25        -0",3.1928815143875897,3.468300000000001,-14.84715069,3.0,-3.0,4
40,mp-13178,AlN,P6_3/mmc,hexagonal,0.11530422249999983,"Full Formula (Al2 N2)
Reduced Formula: AlN
abc   :   3.312115   3.312115   4.187563
angles:  90.000000  90.000000 119.999990
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Al    0.666667  0.333333  0.25        -0
  1  Al    0.333333  0.666667  0.75        -0
  2  N     0.666667  0.333333  0.75         0
  3  N     0.333333  0.666667  0.25         0",3.421648366361545,3.268700000000001,-29.31848351,3.0,-3.0,5
41,mp-1330,AlN,Fm-3m,cubic,0.1720087149999996,"Full Formula (Al1 N1)
Reduced Formula: AlN
abc   :   2.877243   2.877243   2.877243
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0.5  0.5  0.5         0
  1  N     0    0    0          -0",4.041045569153921,4.5541,-14.54583277,3.0,-3.0,6
42,mp-1487,AlNi,Pm-3m,cubic,0.0,"Full Formula (Al1 Ni1)
Reduced Formula: AlNi
abc   :   2.887902   2.887902   2.887902
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0       0
  1  Ni    0.5  0.5  0.5    -0.001",5.906844592010392,0.0,-10.84053015,0.0,0.0,8
43,mp-8023,AlO,Fm-3m,cubic,1.3033435358333394,"Full Formula (Al1 O1)
Reduced Formula: AlO
abc   :   3.165385   3.165385   3.165385
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0           0
  1  O     0.5  0.5  0.5         0",3.1824419169671163,0.0,-11.11076811,0.0,0.0,6
44,mp-875,AlOs,Pm-3m,cubic,0.02072344750000088,"Full Formula (Al1 Os1)
Reduced Formula: AlOs
abc   :   3.017968   3.017968   3.017968
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0       0
  1  Os    0.5  0.5  0.5    -0.001",13.121639371456048,0.0,-15.77462007,0.0,0.0,8
45,mp-1550,AlP,F-43m,cubic,0.0,"Full Formula (Al1 P1)
Reduced Formula: AlP
abc   :   3.894116   3.894116   3.894116
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Al    0     0     0           -0
  1  P     0.25  0.25  0.25        -0",2.3047855617021393,1.8232,-10.37746835,3.0,-3.0,4
46,mp-8880,AlP,P6_3mc,hexagonal,0.004142022499998177,"Full Formula (Al2 P2)
Reduced Formula: AlP
abc   :   3.885549   3.885549   6.381572
angles:  90.000000  90.000000 120.000011
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.333333  0.666667  6.4e-05         -0
  1  Al    0.666667  0.333333  0.500064        -0
  2  P     0.333333  0.666667  0.374936        -0
  3  P     0.666667  0.333333  0.874936        -0",2.306796588287882,2.0228,-20.73836861,3.0,-3.0,4
47,mp-7189,AlPd,P2_13,cubic,0.0,"Full Formula (Al4 Pd4)
Reduced Formula: AlPd
abc   :   4.908737   4.908737   4.908737
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.844263  0.844263  0.844263    -0
  1  Al    0.655737  0.155737  0.344263    -0
  2  Al    0.344263  0.655737  0.155737    -0
  3  Al    0.155737  0.344263  0.655737    -0
  4  Pd    0.147421  0.147421  0.147421     0.001
  5  Pd    0.352579  0.852579  0.647421     0.001
  6  Pd    0.647421  0.352579  0.852579     0.001
  7  Pd    0.852579  0.647421  0.352579     0.001",7.491359435392077,0.0,-43.01400248,0.0,0.0,7
48,mp-669546,AlPd,R-3,trigonal,0.009473078461538442,"Full Formula (Al13 Pd13)
Reduced Formula: AlPd
abc   :   9.281564   9.281564   9.281564
angles: 116.448352 116.448352 116.448356
Sites (26)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.09795   0.346031  0.054748    -0
  1  Al    0.15546   0.753118  0.59854     -0
  2  Al    0.59854   0.15546   0.753118    -0
  3  Al    0.84454   0.246882  0.40146     -0
  4  Al    0.40146   0.84454   0.246882    -0
  5  Al    0.346031  0.054748  0.09795      0
  6  Al    0.945252  0.90205   0.653969    -0
  7  Al    0.246882  0.40146   0.84454     -0
  8  Al    0.653969  0.945252  0.90205      0
  9  Al    0.753118  0.59854   0.15546     -0
 10  Al    0.054748  0.09795   0.346031    -0
 11  Al    0.5       0.5       0.5         -0
 12  Al    0.90205   0.653969  0.945252    -0
 13  Pd    0.554375  0.597354  0.843733     0.001
 14  Pd    0.445625  0.402646  0.156267     0.001
 15  Pd    0.098782  0.655351  0.251924     0.001
 16  Pd    0.748076  0.901218  0.344649     0.001
 17  Pd    0.251924  0.098782  0.655351     0.001
 18  Pd    0.901218  0.344649  0.748076     0.001
 19  Pd    0.402646  0.156267  0.445625     0
 20  Pd    0.156267  0.445625  0.402646     0.001
 21  Pd    0.655351  0.251924  0.098782     0.001
 22  Pd    0.344649  0.748076  0.901218     0.001
 23  Pd    0.843733  0.554375  0.597354     0.001
 24  Pd    0         0         0            0
 25  Pd    0.597354  0.843733  0.554375     0",7.539751619846484,0.0,-139.54920802,0.0,0.0,7
49,mp-829,AlPd,Pm-3m,cubic,0.038584769999999935,"Full Formula (Al1 Pd1)
Reduced Formula: AlPd
abc   :   3.077566   3.077566   3.077566
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0    0           0
  1  Pd    0.5  0.5  0.5         0",7.5995488313934665,0.0,-10.67633108,0.0,0.0,8
