,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,oxidation_states,coordination_number
853,mp-1009747,ScSn,F-43m,cubic,1.036777595,74.78451107,3.634089959,0,-9.5165285,"[0, 0]",4
854,mp-10026,ScTe,P6_3/mmc,hexagonal,0,103.225569,5.551644538,0,-23.66199613,"[2, -2]",6
855,mp-11566,ScZn,Pm-3m,cubic,0,37.81494282,4.846371151,0,-8.35534371,"[0, 0]",0
856,mp-540943,SeBr,P2_1/c,monoclinic,0.002529774,621.3491807,3.396478328,1.8382,-42.50797086,"[0, 0]",2
857,mp-504825,SeCl,P2_1/c,monoclinic,0.021667228,592.3680962,2.565799981,2.2181,-45.84395197,"[0, 0]",2
858,mp-542635,SeN,P2_1/c,monoclinic,0.622486903,704.6033258,3.505514813,1.8845,-163.2545578,[],2
859,mp-1863,SiAs,C2/m,monoclinic,0,310.039143,3.3101752,1.484,-61.37066428,"[0, 0]",4
860,mp-568656,SiC,P3m1,trigonal,0,209.9093084,3.171908241,2.0411,-150.6153592,"[4, -4]",4
861,mp-29803,SiH,P-3m1,trigonal,0.030044695,75.65954243,1.277057517,2.1403,-17.49365302,"[0, 0]",1
862,mp-1128,SiIr,Pnma,orthorhombic,0,115.1176472,12.71120168,0,-62.64289394,"[4, -4]",8
863,mp-351,SiNi,Pnma,orthorhombic,0,96.37027541,5.981087135,0,-48.81939111,"[4, -4]",8
864,mp-2488,SiOs,P2_13,cubic,0.01236004,110.184762,13.16049189,0.6209,-69.52175952,"[4, -4]",7
865,mp-2798,SiP,Cmc2_1,orthorhombic,0,566.7990377,2.076295941,1.8187,-133.3084879,"[4, -4]",4
866,mp-389,SiPd,Pnma,orthorhombic,0,120.6660557,7.403959168,0,-46.73189958,"[4, -4]",8
867,mp-696,SiPt,Pnma,orthorhombic,0,122.9545617,12.05589018,0,-51.29824888,"[4, -4]",8
868,mp-818,SiRh,Pnma,orthorhombic,0,112.0642767,7.763961159,0,-57.68545556,"[4, -4]",8
869,mp-189,SiRu,P2_13,cubic,0,106.7650475,8.03512979,0.2541,-63.99152747,"[4, -4]",7
870,mp-1009813,SiSn,F-43m,cubic,0.146897408,55.89218661,4.361247561,0.4114,-9.12189082,"[4, -4]",4
871,mp-1079910,SiTc,P2_13,cubic,0,109.5659239,7.643613675,0,-67.32872967,"[4, -4]",7
872,mp-2475,SmAg,Pm-3m,cubic,0,51.42261539,8.338704886,0,-8.1053593,"[0, 0]",0
873,mp-978951,SmAl,Pbcm,orthorhombic,0,396.2038117,5.946082179,0,-74.18822021,"[0, 0]",7
874,mp-1738,SmAs,Fm-3m,cubic,0,53.01605546,7.056143551,0,-12.41703328,"[3, -3]",6
875,mp-1079811,SmAu,Pnma,orthorhombic,0,205.2329214,11.24087369,0,-38.63767632,"[0, 0]",7
876,mp-22873,SmBi,Fm-3m,cubic,0,66.99583103,8.90650602,0,-10.44616199,"[0, 0]",6
877,mp-572,SmCd,Pm-3m,cubic,0,55.76783715,7.824250202,0,-6.2803804,"[0, 0]",0
878,mp-980769,SmCu,Pnma,orthorhombic,0,178.6252956,7.954064255,0,-36.93574005,"[0, 0]",9
879,mp-999177,SmGa,Cmcm,orthorhombic,8.65E-05,102.6621697,7.119592749,0,-17.77347179,"[0, 0]",11
880,mp-972521,SmGe,Cmcm,orthorhombic,0,96.95168659,7.63886065,0,-22.14473491,"[0, 0]",7
881,mp-20298,SmIn,Pm-3m,cubic,0,56.59333785,7.780746733,0,-8.36576084,"[0, 0]",0
882,mp-2558,SmMg,Pm-3m,cubic,0,56.90846703,5.096571234,0,-6.51809256,"[0, 0]",0
883,mp-749,SmN,Fm-3m,cubic,0,32.66253898,8.356280164,0.0215,-16.00816156,"[3, -3]",6
884,mp-999145,SmNi,Cmcm,orthorhombic,0,84.30312619,8.235550766,0,-22.32704519,"[0, 0]",11
885,mp-1611,SmO,Fm-3m,cubic,0.110977988,30.62507507,9.020264674,0,-15.19387739,"[2, -2]",6
886,mp-710,SmP,Fm-3m,cubic,0,49.06000761,6.137622282,0,-13.26436034,"[3, -3]",6
887,mp-31380,SmPd,Cmcm,orthorhombic,0,95.43612081,8.935677978,0,-23.09046232,"[0, 0]",7
888,mp-1025431,SmPt,Pnma,orthorhombic,0,188.3058818,12.18492491,0,-52.70192912,"[2, -2]",7
889,mp-436,SmRh,Pm-3m,cubic,0,43.06966462,9.764581654,0,-13.49570649,"[0, 0]",0
890,mp-1269,SmS,Fm-3m,cubic,0,45.58828365,6.644773941,0,-12.90068478,"[2, -2]",6
891,mp-2281,SmSb,Fm-3m,cubic,0,63.27857934,7.14089816,0,-11.18950348,"[3, -3]",6
892,mp-1447,SmSe,Fm-3m,cubic,0,51.43989222,7.402714164,0,-11.83406051,"[2, -2]",6
893,mp-1025489,SmSi,Pnma,orthorhombic,0,186.010202,6.372031659,0,-46.92123845,"[0, 0]",7
894,mp-342,SmTe,Fm-3m,cubic,0,62.06090802,7.43726532,0,-10.6255132,"[2, -2]",6
895,mp-2541,SmTl,P4/mmm,tetragonal,0,57.63655569,10.22033849,0,-7.77534819,"[0, 0]",12
896,mp-2165,SmZn,Pm-3m,cubic,0,48.14940771,7.4412723,0,-6.62763762,"[0, 0]",0
897,mp-2182,SnAs,Fm-3m,cubic,0.029796175,49.0140785,6.560009821,0,-8.76729345,"[3, -3]",6
898,mp-1775,SnAu,P6_3/mmc,hexagonal,0,95.78798255,10.94486513,0,-15.3040658,"[0, 0]",6
899,mp-570686,SnBi,Cmce,orthorhombic,0.04975649,242.0138707,8.993578913,0,-31.11679352,"[0, 0]",11
900,mp-1009820,SnC,F-43m,cubic,0.80826209,32.90242382,6.597289925,0.6337,-11.60254062,"[4, -4]",4
901,mp-20033,SnIr,P6_3/mmc,hexagonal,0,79.87142079,12.92843987,0,-26.66785781,"[0, 0]",6
902,mp-2097,SnO,P4/nmm,tetragonal,0,75.28545173,5.942455446,0.6297,-23.05986712,"[2, -2]",4
903,mp-7526,SnP,I4mm,tetragonal,0.042057995,45.55666716,5.455968357,0,-9.41315914,"[3, -3]",6
904,mp-2369,SnPd,Pnma,orthorhombic,0,160.0327668,9.344015419,0,-41.01233581,"[0, 0]",8
905,mp-19856,SnPt,P6_3/mmc,hexagonal,0,83.68075231,12.45369291,0,-22.45024704,"[2, -2]",6
906,mp-317,SnRh,P2_13,cubic,0,141.6661769,10.39065791,0,-49.19644257,"[0, 0]",7
907,mp-2231,SnS,Pnma,orthorhombic,0,204.3762593,4.900134264,1.1111,-36.08546342,"[2, -2]",8
908,mp-10635,SnSb,Fm-3m,cubic,0.003454427,59.13298108,6.752743089,0,-8.11438571,"[2, -2]",6
909,mp-2693,SnSe,Fm-3m,cubic,0,55.78456532,5.884042574,0.8203,-8.36530775,"[2, -2]",6
910,mp-1883,SnTe,Fm-3m,cubic,0,66.06685541,6.190810429,0.6624,-7.72519638,"[2, -2]",6
911,mp-30355,SrAg,Pnma,orthorhombic,0,517.80005,5.015307251,0,-41.27422884,"[0, 0]",11
912,mp-27233,SrAl,P2_13,cubic,0.038130966,2083.093619,2.923349468,0,-184.7588171,"[0, 0]",0
913,mp-1049,SrAs,P-62m,hexagonal,0,377.0371115,4.295174164,0.0181,-51.00001287,"[2, -2]",6
914,mp-30420,SrAu,P2_1/m,monoclinic,0,1211.154499,7.803581065,0,-130.4432064,"[0, 0]",9
915,mp-30496,SrCd,Pm-3m,cubic,0,67.99679625,4.88492559,0,-3.26104819,"[0, 0]",0
916,mp-1025402,SrCu,P6_3/mmc,hexagonal,0,250.9570454,4.000956388,0,-23.99958469,"[0, 0]",0
917,mp-1199262,SrGa,P2_13,cubic,0.025159351,1996.260908,4.188217238,0,-175.9171717,"[0, 0]",0
918,mp-2147,SrGe,Cmcm,orthorhombic,0,117.5981184,4.525888585,0,-15.10705431,"[0, 0]",7
919,mp-542,SrHg,Pm-3m,cubic,0,65.33075033,7.325554383,0,-3.0536888,"[0, 0]",0
920,mp-655461,SrIn,Fdd2,orthorhombic,0.003215771,576.8558792,4.661909079,0,-42.26814397,"[0, 0]",12
921,mp-2564,SrMg,Pm-3m,cubic,0.022954601,73.86511317,2.516151767,0,-3.38247702,"[0, 0]",0
922,mp-29973,SrN,C2/m,monoclinic,0,175.1244719,3.854517961,0,-44.2929755,"[2, -2]",7
923,mp-2472,SrO,Fm-3m,cubic,0,35.27691022,4.877526424,3.4487,-12.10463579,"[2, -2]",6
924,mp-7931,SrP,P-62m,hexagonal,0,343.8226969,3.43658944,0.7473,-55.18091233,"[2, -2]",6
925,mp-21093,SrPb,Cmcm,orthorhombic,0,150.205554,6.518535626,0,-12.97782951,"[0, 0]",9
926,mp-999143,SrPd,Cmcm,orthorhombic,0,111.1971445,5.795310695,0,-16.16506894,"[0, 0]",11
927,mp-1087,SrS,Fm-3m,cubic,0,55.73155101,3.566052166,2.5619,-10.11306558,"[2, -2]",6
928,mp-2758,SrSe,Fm-3m,cubic,0,62.62642493,4.41686713,2.2914,-9.31003431,"[2, -2]",6
929,mp-2661,SrSi,Cmcm,orthorhombic,0,111.3190914,3.451941633,0,-16.0914627,"[0, 0]",0
930,mp-1698,SrSn,Cmcm,orthorhombic,0,141.3115088,4.849131237,0,-14.10233539,"[0, 0]",9
931,mp-1958,SrTe,Fm-3m,cubic,0,76.00668652,4.701970764,2.0435,-8.31815682,"[2, -2]",6
932,mp-2434,SrTl,Pm-3m,cubic,0,69.76915812,6.949817087,0,-4.91307587,"[0, 0]",0
933,mp-1060143,SrU,R3m,trigonal,1.495795447,116.787518,4.630227152,0,-9.98930037,"[0, 0]",9
934,mp-12724,SrZn,Pnma,orthorhombic,0,255.4546269,3.978955259,0,-13.46748581,"[0, 0]",7
935,mp-1936,TaAs,I4_1md,tetragonal,0,70.63360143,12.03057069,0,-35.1766111,"[3, -3]",6
936,mp-1097,TaB,Cmcm,orthorhombic,0,45.55108843,13.98092219,0,-40.32581988,"[3, -3]",11
937,mp-1086,TaC,Fm-3m,cubic,0,22.5101121,14.23428097,0,-22.23642658,"[4, -4]",6
938,mp-1009826,TaCo,Pm-3m,cubic,0.172233642,28.88919881,13.78826388,0,-19.11694163,"[0, 0]",0
939,mp-571499,TaIr,Pmma,orthorhombic,0,194.090364,19.15566076,0,-131.3740942,"[0, 0]",12
940,mp-1279,TaN,P-62m,hexagonal,0,69.39251283,13.99558899,0,-67.61531093,"[3, -3]",3
941,mp-1895,TaO,Fm-3m,cubic,1.108153584,22.89196349,14.28617744,0,-18.57968606,"[0, 0]",6
942,mp-1067587,TaP,I4_1md,tetragonal,0,63.61355139,11.06381134,0,-38.26495716,"[3, -3]",6
943,mp-999133,TaPd,P4/nmm,tetragonal,0,67.01554296,14.24104231,0,-35.52660991,"[0, 0]",10
944,mp-1601,TaRu,P4/mmm,tetragonal,0,32.15762964,14.5626936,0,-21.77123507,"[0, 0]",12
945,mp-10628,TaS,P-6m2,hexagonal,0.220965702,31.06784228,11.38528404,0,-17.33792865,"[0, 0]",6
946,mp-11572,TaTc,Pm-3m,cubic,0,32.48682919,14.25820444,0,-23.21331621,"[3, -3]",0
947,mp-2268,TbAg,Pm-3m,cubic,0,49.03316066,9.035132684,0,-8.08833806,"[0, 0]",0
948,mp-11225,TbAl,Pbcm,orthorhombic,0,379.6537862,6.504992969,0,-73.69833743,"[0, 0]",7
949,mp-2640,TbAs,Fm-3m,cubic,0,50.14733554,7.743422295,0,-12.35580528,"[3, -3]",6
950,mp-999141,TbAu,Cmcm,orthorhombic,0,97.24279812,12.15457487,0,-19.31596067,"[0, 0]",7
951,mp-22921,TbBi,Fm-3m,cubic,0,64.12156731,9.527556738,0,-10.26587158,"[0, 0]",6
952,mp-27924,TbBr,R-3m,trigonal,0.010312098,137.4841266,5.769181878,0,-17.44416394,"[0, 0]",12
953,mp-721,TbCd,Pm-3m,cubic,0,53.45971446,8.428114776,0,-6.19751727,"[0, 0]",0
954,mp-27923,TbCl,R-3m,trigonal,0.111216846,118.4530494,5.449802189,0.0065,-18.64240382,"[0, 0]",6
955,mp-1837,TbCu,Pm-3m,cubic,0,42.18725913,8.756728345,0,-9.21178386,"[0, 0]",0
956,mp-11417,TbGa,Cmcm,orthorhombic,0,97.75975415,7.767603775,0,-17.83492493,"[0, 0]",11
957,mp-1405,TbGe,Cmcm,orthorhombic,0,92.8415712,8.283429614,0,-22.01518627,"[0, 0]",9
958,mp-2054,TbHg,Pm-3m,cubic,0,52.44255557,11.38368024,0,-5.9095507,"[0, 0]",0
959,mp-1635,TbMg,Pm-3m,cubic,0,54.82574724,5.549603419,0,-6.40528294,"[0, 0]",0
960,mp-2117,TbN,Fm-3m,cubic,0,30.27063787,9.486434547,0.1863,-16.28151311,"[3, -3]",6
961,mp-31139,TbNi,P2_1/m,monoclinic,0,482.8370547,8.981028258,0,-135.4344972,"[0, 0]",11
962,mp-645,TbP,Fm-3m,cubic,0,46.26355935,6.816053469,0,-13.26180188,"[3, -3]",6
963,mp-1080451,TbPd,Pnma,orthorhombic,0,181.3676434,9.717638969,0,-46.5869992,"[0, 0]",7
964,mp-1079305,TbPt,Pnma,orthorhombic,0,180.4477668,13.03083693,0,-52.95455654,"[0, 0]",7
965,mp-11561,TbRh,Pm-3m,cubic,0,40.93585349,10.62101601,0,-13.65930126,"[0, 0]",0
966,mp-1610,TbS,Fm-3m,cubic,0,42.81276118,7.407766487,0,-12.78425098,"[0, 0]",6
967,mp-2724,TbSb,Fm-3m,cubic,0,60.42722496,7.713228423,0,-11.04479161,"[3, -3]",6
968,mp-1561,TbSe,Fm-3m,cubic,0,48.63015045,8.122901397,0,-11.6564031,"[0, 0]",6
969,mp-1924,TbSi,Pnma,orthorhombic,0,175.5970202,7.073897313,0,-46.83539918,"[4, -4]",7
970,mp-1176,TbTe,Fm-3m,cubic,0.00219608,59.12466283,8.047175484,0,-10.39142338,"[0, 0]",6
971,mp-30878,TbTl,Pm-3m,cubic,0,55.58018797,10.85437507,0,-7.69033702,"[0, 0]",0
972,mp-836,TbZn,Pm-3m,cubic,0,46.09358204,8.081731462,0,-6.57890985,"[0, 0]",0
973,mp-1002188,TcB,P-6m2,hexagonal,0.102729953,21.16408291,8.53733739,0,-17.60483351,"[3, -3]",6
974,mp-1009848,TcC,F-43m,cubic,0.55709637,24.8663059,7.346369252,0,-18.47319699,"[4, -4]",4
975,mp-1019319,TcN,Pm-3m,cubic,0,66.64864865,8.371880219,0,-56.04509427,"[3, -3]",4
976,mp-10051,TeAs,Fm-3m,cubic,0.090693169,52.27276801,6.433465099,0,-7.64563571,"[2, -2]",6
977,mp-569766,TeI,C2/m,monoclinic,0,343.4277124,4.922312322,0.7345,-19.3242023,"[0, 0]",5
978,mp-10187,TeIr,P6_3/mmc,hexagonal,0.285085305,82.91746608,12.80957192,0,-23.72121706,"[0, 0]",6
979,mp-19717,TePb,Fm-3m,cubic,0,70.75839193,7.856997091,1.0582,-7.66743749,"[2, -2]",6
980,mp-564,TePd,P6_3/mmc,hexagonal,0,88.3425611,8.797556863,0,-18.1077326,"[2, -2]",6
981,mp-11693,TePt,R-3m,trigonal,0,95.99647584,11.16352207,0,-19.80946866,"[2, -2]",3
982,mp-1628,TeRh,P6_3/mmc,hexagonal,0.019568976,81.75678911,9.363464294,0,-22.26326129,"[0, 0]",6
983,mp-178,ThAl,Cmcm,orthorhombic,0.018827559,106.9451188,8.043605305,0,-23.59768764,"[0, 0]",11
984,mp-1753,ThAs,Fm-3m,cubic,0,54.40617615,9.368761845,0,-14.86459454,"[0, 0]",6
985,mp-1018175,ThAu,Cmcm,orthorhombic,0,104.9238644,13.57896891,0,-23.83656558,"[0, 0]",7
986,mp-30468,ThBi,Pm-3m,cubic,0.010559179,61.40654588,11.92590092,0,-12.3717533,"[0, 0]",0
987,mp-1164,ThC,Fm-3m,cubic,0,38.38151232,10.55853393,0,-17.19295028,"[4, -4]",6
988,mp-30564,ThCo,Cmcm,orthorhombic,0,83.02918992,11.63853668,0,-30.4726555,"[0, 0]",7
989,mp-30669,ThGa,Pnma,orthorhombic,0,413.2390454,9.700652142,0,-91.98001002,"[0, 0]",7
990,mp-1093,ThGe,Fm-3m,cubic,0,56.38400321,8.972931905,0,-13.57048955,"[0, 0]",6
991,mp-12774,ThIr,Cmcm,orthorhombic,0,94.80556433,14.86183024,0,-36.60810337,"[0, 0]",7
992,mp-834,ThN,Fm-3m,cubic,0,34.66414739,11.78644123,0,-18.89439616,"[0, 0]",6
993,mp-623836,ThNi,Pnma,orthorhombic,0,344.6750524,11.20524259,0,-112.4567705,"[0, 0]",9
994,mp-931,ThP,Fm-3m,cubic,0,50.23558967,8.693864415,0,-15.93412573,"[0, 0]",6
995,mp-672388,ThPb,I4_1/amd,tetragonal,0.091048595,123.7966994,11.78338294,0,-23.22581585,"[0, 0]",12
996,mp-30838,ThPd,Pnma,orthorhombic,0,197.3234186,11.3929271,0,-56.51197188,"[0, 0]",7
997,mp-12754,ThPt,Cmcm,orthorhombic,0,99.47071376,14.26053639,0,-31.82949027,"[0, 0]",7
998,mp-12755,ThRh,Cmcm,orthorhombic,0,93.98732936,11.83535845,0,-33.37687983,"[0, 0]",7
999,mp-12775,ThRu,Cmcm,orthorhombic,0,90.43483378,12.23287364,0,-35.52111507,"[0, 0]",7
1000,mp-503,ThS,Fm-3m,cubic,0,46.77376789,9.376055608,0,-15.22333258,"[0, 0]",6
1001,mp-1751,ThSb,Fm-3m,cubic,0,64.73137956,9.075899576,0,-13.34697722,"[0, 0]",6
1002,mp-2183,ThSe,Fm-3m,cubic,0,52.58579436,9.820607154,0,-14.00852677,"[0, 0]",6
1003,mp-21238,ThSi,Pnma,orthorhombic,0,194.1729795,8.898155339,0,-56.90814008,"[4, -4]",7
1004,mp-1921,ThTe,Pm-3m,cubic,0,57.13633394,10.45207152,0,-12.75784784,"[0, 0]",0
1005,mp-542382,ThTl,Pbcm,orthorhombic,0,723.1601688,12.02546405,0,-121.0381149,"[0, 0]",10
1006,mp-1017985,TiAg,P4/nmm,tetragonal,0,70.46096642,7.340358692,0,-21.71794788,"[0, 0]",12
1007,mp-1953,TiAl,P4/mmm,tetragonal,0,32.41839123,3.833901613,0,-12.45495691,"[0, 0]",12
1008,mp-1822,TiAs,P6_3/mmc,hexagonal,0,139.7431267,5.836287539,0,-57.57206343,"[3, -3]",6
1009,mp-998972,TiAu,P4/nmm,tetragonal,0,68.84440861,11.81085623,0,-24.02868635,"[0, 0]",10
1010,mp-7857,TiB,Pnma,orthorhombic,0,85.17452229,4.575880615,0,-64.95595423,"[3, -3]",7
1011,mp-11279,TiBe,Pm-3m,cubic,0.005377315,25.17196997,3.752193567,0,-11.91460277,"[0, 0]",0
1012,mp-631,TiC,Fm-3m,cubic,0,20.37523643,4.879907059,0,-18.73702777,"[4, -4]",6
1013,mp-30500,TiCd,P4/nmm,tetragonal,0,77.17061516,6.897648281,0,-17.84387639,"[0, 0]",12
1014,mp-823,TiCo,Pm-3m,cubic,0,26.41239402,6.714495322,0,-15.80060807,"[0, 0]",0
1015,mp-2078,TiCu,P4/nmm,tetragonal,0,57.44681474,6.440936363,0,-24.53127913,"[0, 0]",0
1016,mp-305,TiFe,Pm-3m,cubic,0,25.92847493,6.642034602,0,-17.20663407,"[0, 0]",0
1017,mp-2767,TiGa,P4/mmm,tetragonal,0,31.50577343,6.197682761,0,-11.86685148,"[0, 0]",12
1018,mp-690760,TiH,P4_2/mmc,tetragonal,0.001527228,39.93652188,4.064387354,0,-24.01996707,"[0, 0]",4
1019,mp-1526,TiHg,P4/mmm,tetragonal,0.059483487,38.03881459,10.8460939,0,-8.2169855,"[0, 0]",12
1020,mp-1235,TiIr,P4/mmm,tetragonal,0,30.2670308,13.17172021,0,-18.44915074,"[0, 0]",12
1021,mp-998968,TiMo,Imma,orthorhombic,0.79874868,69.63894097,6.858149714,0,-34.67937304,"[0, 0]",7
1022,mp-492,TiN,Fm-3m,cubic,0,19.23932073,5.340297483,0,-19.66288654,"[3, -3]",6
1023,mp-1048,TiNi,P2_1/m,monoclinic,0,55.18418868,6.412985726,0,-28.9346775,"[0, 0]",11
1024,mp-1071163,TiO,P-62m,hexagonal,0,62.86059049,5.06132625,0,-53.91709674,"[2, -2]",6
1025,mp-291,TiOs,Pm-3m,cubic,0,29.65173802,13.33376714,0,-20.53596546,"[2, -2]",0
1026,mp-739,TiP,P6_3/mmc,hexagonal,0,124.1044747,4.219611441,0,-62.69014219,"[3, -3]",6
1027,mp-979261,TiPd,P2_1/m,monoclinic,0.001499788,63.3306131,8.09086091,0,-28.33038712,"[0, 0]",12
1028,mp-998949,TiPt,Pmma,orthorhombic,0,63.23182775,12.76033419,0,-31.61418945,"[2, -2]",12
1029,mp-2179,TiRe,Pm-3m,cubic,0,30.33451765,12.81342351,0,-21.13589681,"[0, 0]",0
